college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
978:PARSHURAM,COMPUTER ENGINEERING,7186114,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,42.0,20.0,19.0,12.0,43.0,21.0,12.0,35.0,20.0,18.0,12.0,34.0,11.0,10.0,5.04,5.37,4.82,5.32,6.17,6.0,6.68,6.15,5.99
978:PARSHURAM,ELECTRICAL ENGINEERING,8182287,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,18.0,0.0,13.0,32.0,15.0,8.0,39.0,16.0,0.0,10.0,37.0,17.0,9.0,4.81,5.04,5.37,5.14,5.62,4.96,5.89,6.58,5.61
978:PARSHURAM,INSTRUMENTATION ENGINEERING,13181584,ISE8042:POWER,P,ISC801,ISC802,ISC803,ELECTIVEII,36.0,20.0,20.0,11.0,39.0,19.0,14.0,38.0,20.0,20.0,14.0,38.0,20.0,12.0,4.83,5.61,5.3,5.67,6.25,6.54,6.79,7.65,6.1
978:PARSHURAM,MECHANICAL,14186479,MEE80210:WORLD,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,16.0,1.0,7.0,32.0,12.0,9.0,32.0,14.0,11.0,0.0,32.0,11.0,9.0,4.63,4.83,4.75,4.82,4.89,5.25,5.59,5.6,5.39
982:VIDYAVIKAS,CIVIL,6183767,CEE80410:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,27.0,0.0,10.0,9.0,23.0,12.0,10.0,21.0,13.0,17.0,8.0,19.0,12.0,9.0,4.91,4.46,4.78,4.38,5.0,4.89,5.59,5.92,5.33
982:VIDYAVIKAS,COMPUTER ENGINEERING,7186119,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,17.0,17.0,9.0,32.0,12.0,10.0,32.0,15.0,17.0,8.0,32.0,19.0,11.0,4.78,5.07,4.68,4.82,5.29,5.21,6.12,6.3,5.71
982:VIDYAVIKAS,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185764,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,36.0,21.0,21.0,13.0,32.0,20.0,11.0,32.0,20.0,20.0,13.0,32.0,20.0,13.0,5.13,5.33,4.92,4.71,5.41,5.11,6.3,6.92,5.58
982:VIDYAVIKAS,ELECTRONICS ENGINEERING,11182850,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,18.0,15.0,8.0,37.0,16.0,9.0,33.0,17.0,19.0,8.0,32.0,15.0,9.0,5.33,5.33,4.69,4.5,5.07,4.93,5.59,6.04,5.41
982:VIDYAVIKAS,INFORMATION TECHNOLOGY ENGINEERING,12184205,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,16.0,8.0,32.0,14.0,8.0,32.0,18.0,14.0,9.0,32.0,17.0,11.0,4.96,4.91,4.68,4.93,5.35,4.36,5.26,6.19,5.4
990:VISHWANIKE,CIVIL,6183915,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,25.0,0.0,15.0,8.0,16.0,12.0,9.0,12.0,17.0,14.0,9.0,18.0,16.0,9.0,4.81,5.72,4.85,4.28,5.08,4.75,5.93,6.25,5.42
990:VISHWANIKE,COMPUTER ENGINEERING,7186269,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,20.0,20.0,10.0,32.0,16.0,9.0,32.0,17.0,18.0,12.0,32.0,17.0,8.0,5.13,4.72,5.0,5.14,5.46,6.13,6.68,6.74,6.02
990:VISHWANIKE,ELECTRICAL ENGINEERING,8182331,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,34.0,14.0,0.0,12.0,32.0,14.0,12.0,39.0,14.0,0.0,13.0,35.0,13.0,9.0,5.3,5.65,4.89,5.04,5.23,5.54,6.3,7.15,5.85
990:VISHWANIKE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185807,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,38.0,18.0,16.0,10.0,33.0,16.0,11.0,32.0,19.0,19.0,8.0,32.0,18.0,11.0,5.24,5.26,4.23,4.79,5.26,4.86,5.81,6.85,5.74
990:VISHWANIKE,MECHANICAL,14186540,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,13.0,12.0,8.0,32.0,11.0,8.0,32.0,11.0,13.0,6.0,32.0,14.0,8.0,4.78,5.11,5.08,4.61,4.78,4.96,5.74,6.16,5.56
991:IDAL INST,CIVIL,6184040,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,25.0,0.0,10.0,8.0,15.0,15.0,8.0,17.0,16.0,16.0,8.0,16.0,16.0,8.0,5.59,5.46,4.67,4.59,4.0,4.0,5.33,6.25,5.32
991:IDAL INST,COMPUTER ENGINEERING,7186345,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,33.0,16.0,18.0,11.0,42.0,18.0,12.0,35.0,17.0,17.0,11.0,36.0,20.0,12.0,5.59,5.59,5.86,5.32,5.25,6.21,4.88,7.33,5.93
