college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
523:RMCET,INFORMATION TECHNOLOGY ENGINEERING,51281683,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,69.0,22.0,22.0,18.0,66.0,22.0,15.0,61.0,23.0,24.0,20.0,57.0,24.0,19.0,7.22,7.15,6.89,7.21,8.92,9.68,9.04,9.69,7.47
523:RMCET,MECHANICAL,53282064,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,62.0,24.0,23.0,18.0,64.0,23.0,19.0,66.0,43.0,22.0,20.0,62.0,55.0,19.0,9.0,9.22,9.5,9.32,8.96,10.0,9.74,9.08,9.06
524:MCTCE,COMPUTER ENGINEERING,45282709,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,69.0,24.0,24.0,20.0,75.0,24.0,20.0,62.0,24.0,24.0,18.0,71.0,50.0,20.0,9.63,9.78,10.0,9.86,10.0,9.92,9.68,9.37,9.22
524:MCTCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183411,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,72.0,24.0,24.0,19.0,72.0,24.0,19.0,69.0,24.0,24.0,20.0,63.0,24.0,21.0,9.44,9.19,9.81,9.61,9.52,9.68,9.59,9.69,9.02
524:MCTCE,INFORMATION TECHNOLOGY ENGINEERING,51281759,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,73.0,24.0,24.0,20.0,68.0,24.0,20.0,73.0,24.0,24.0,20.0,71.0,24.0,20.0,9.41,8.7,9.82,10.0,10.0,9.52,9.56,9.69,9.39
524:MCTCE,INSTRUMENTATION ENGINEERING,52280619,ISE8042:POWER,P,ISC801,ISC802,ISC803,ELECTIVEII,70.0,24.0,24.0,19.0,71.0,24.0,20.0,73.0,24.0,24.0,19.0,63.0,24.0,19.0,8.93,8.7,9.81,9.85,10.0,9.39,9.86,9.38,9.09
524:MCTCE,MECHANICAL,53282213,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,75.0,24.0,24.0,20.0,70.0,42.0,20.0,74.0,33.0,24.0,20.0,72.0,54.0,20.0,9.85,10.0,10.0,10.0,10.0,10.0,9.89,10.0,9.79
531:SFIT,COMPUTER ENGINEERING,45282861,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,70.0,24.0,24.0,20.0,72.0,24.0,20.0,72.0,24.0,24.0,20.0,74.0,56.0,20.0,9.85,10.0,10.0,10.0,9.83,10.0,10.0,9.81,9.7
531:SFIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183563,ETE803:MICROWAVE,P,ETC801,ETC802,ETC803,ELECTIVEII,72.0,24.0,23.0,20.0,69.0,24.0,20.0,67.0,48.0,23.0,19.0,61.0,41.0,20.0,9.33,9.15,9.85,10.0,9.96,9.96,8.96,9.54,9.5
531:SFIT,INFORMATION TECHNOLOGY ENGINEERING,51281911,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,73.0,24.0,24.0,20.0,70.0,24.0,20.0,67.0,24.0,24.0,20.0,69.0,25.0,20.0,10.0,9.48,9.57,9.86,10.0,10.0,9.78,9.69,9.37
532:ACE,COMPUTER ENGINEERING,45283020,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,69.0,24.0,24.0,20.0,71.0,46.0,20.0,64.0,32.0,24.0,20.0,69.0,50.0,20.0,9.19,9.63,9.71,9.82,9.67,9.83,9.84,9.7,9.43
532:ACE,ELECTRICAL ENGINEERING,47280668,EEE802:ELECTRIC,P,EEC801,EEC802,EEC803,ELECTIVEII,64.0,23.0,0.0,18.0,63.0,23.0,19.0,69.0,23.0,0.0,19.0,67.0,24.0,19.0,9.04,9.31,9.41,9.79,9.54,9.21,8.3,9.85,9.0
532:ACE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183706,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,72.0,24.0,24.0,19.0,71.0,24.0,19.0,69.0,24.0,24.0,20.0,67.0,23.0,18.0,9.19,9.22,9.08,9.14,9.56,9.29,9.11,9.54,9.14
532:ACE,ELECTRONICS ENGINEERING,50281313,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,76.0,22.0,23.0,20.0,72.0,23.0,16.0,68.0,23.0,23.0,19.0,66.0,33.0,20.0,8.67,9.11,9.38,9.25,9.0,8.78,9.26,9.5,8.66
532:ACE,INFORMATION TECHNOLOGY ENGINEERING,51282069,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,67.0,24.0,24.0,19.0,70.0,24.0,20.0,63.0,24.0,24.0,20.0,71.0,33.0,20.0,9.22,9.56,10.0,9.79,9.46,9.84,9.11,9.38,9.46
533:SSPM,COMPUTER ENGINEERING,45283083,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,67.0,25.0,24.0,19.0,67.0,25.0,19.0,66.0,25.0,24.0,20.0,66.0,25.0,19.0,9.22,8.63,9.71,9.29,9.67,9.83,9.36,9.56,9.23
533:SSPM,ELECTRICAL ENGINEERING,47280752,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,60.0,23.0,0.0,17.0,63.0,24.0,19.0,66.0,24.0,0.0,20.0,74.0,24.0,19.0,8.96,8.89,9.56,9.71,9.15,9.18,9.41,9.38,9.16
