college_code,department,Unnamed: 0,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
532:ACE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30864.2,10183632.2,51.24,21.56,21.56,15.72,51.4,18.92,12.8,49.52,20.28,20.12,12.08,45.08,19.36,12.6,6.321999999999999,6.257599999999999,6.748399999999998,7.114800000000002,7.251600000000002,7.9456,6.9403999999999995
532:ACE,ELECTRONICS ENGINEERING,37286.09090909091,32508991.318181816,45.72727272727273,19.272727272727273,18.272727272727273,14.954545454545455,51.09090909090909,19.0,10.590909090909092,44.86363636363637,20.136363636363637,19.40909090909091,13.636363636363637,47.54545454545455,20.045454545454547,15.545454545454545,6.61,6.1881818181818184,6.691818181818181,6.091363636363635,7.035454545454545,7.5095454545454565,6.68909090909091
532:ACE,INFORMATION TECHNOLOGY ENGINEERING,40284.0,35777171.01724138,50.62068965517241,19.689655172413794,19.586206896551722,10.96551724137931,45.43103448275862,20.32758620689655,14.293103448275861,41.58620689655172,19.67241379310345,20.06896551724138,12.793103448275861,47.48275862068966,19.96551724137931,13.431034482758621,6.9396551724137945,6.894655172413793,7.069137931034483,7.548965517241382,7.187586206896551,7.5341379310344845,7.196896551724137
533:SSPM,COMPUTER ENGINEERING,36419.20754716981,21561085.37735849,50.15094339622642,19.754716981132077,20.528301886792452,11.584905660377359,53.16981132075472,21.169811320754718,13.943396226415095,46.64150943396226,20.0188679245283,20.566037735849058,16.30188679245283,46.264150943396224,21.433962264150942,14.754716981132075,6.469056603773588,6.226603773584906,7.18452830188679,7.436037735849054,7.762264150943396,8.096792452830185,7.197169811320753
533:SSPM,ELECTRICAL ENGINEERING,45057.92397660819,34933711.684210524,46.853801169590646,21.28654970760234,0.0,15.771929824561404,42.90643274853801,19.666666666666668,13.280701754385966,49.01169590643275,20.736842105263158,0.0,15.543859649122806,48.666666666666664,21.169590643274855,12.467836257309942,6.729122807017548,6.740058479532167,7.153918128654969,6.8032163742690015,7.282397660818716,7.904093567251463,7.102748538011694
533:SSPM,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30977.285714285714,10183745.285714285,51.42857142857143,21.0,20.285714285714285,12.857142857142858,51.142857142857146,20.428571428571427,13.571428571428571,45.857142857142854,21.0,19.142857142857142,15.714285714285714,42.142857142857146,22.428571428571427,18.428571428571427,6.484285714285713,6.49,7.021428571428572,6.444285714285714,7.25,7.867142857142857,6.927142857142856
533:SSPM,MECHANICAL,9842.84090909091,36398597.93181818,46.65909090909091,19.65909090909091,16.5,13.977272727272727,49.81818181818182,19.931818181818183,14.204545454545455,48.97727272727273,19.59090909090909,19.59090909090909,13.909090909090908,53.65909090909091,19.886363636363637,14.931818181818182,7.167272727272729,7.275,7.0904545454545485,7.361818181818183,7.357499999999998,7.848181818181815,7.350227272727275
534:VIT,COMPUTER ENGINEERING,36129.24723247233,18993488.86715867,50.904059040590404,19.1070110701107,20.10332103321033,15.269372693726938,54.61623616236162,18.70848708487085,17.756457564575644,48.56826568265683,19.985239852398525,19.793357933579337,16.535055350553506,46.95571955719557,20.81180811808118,15.509225092250922,7.124981549815499,7.163542435424356,7.723985239852408,7.791402214022148,7.859188191881928,8.269999999999992,7.656568265682656
534:VIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,7987.586956521739,10183863.586956521,49.27173913043478,19.934782608695652,19.891304347826086,15.76086956521739,47.59782608695652,20.304347826086957,15.152173913043478,49.5,18.369565217391305,17.184782608695652,16.054347826086957,44.608695652173914,20.054347826086957,14.369565217391305,7.039891304347826,7.14641304347826,7.5396739130434804,7.268043478260868,7.300760869565216,7.88771739130435,7.364456521739129
534:VIT,ELECTRONICS ENGINEERING,38086.877358490565,28887602.056603774,43.880503144654085,19.12264150943396,15.723270440251572,15.283018867924529,48.75471698113208,19.10377358490566,15.251572327044025,40.905660377358494,19.49056603773585,18.91823899371069,15.377358490566039,47.996855345911946,18.544025157232703,13.056603773584905,6.673018867924529,6.4391194968553425,6.648679245283023,6.865597484276733,6.903270440251576,7.426603773584922,6.826729559748422
534:VIT,INFORMATION TECHNOLOGY ENGINEERING,39212.175879396986,31634406.09045226,48.87437185929648,19.753768844221106,16.326633165829147,16.321608040201006,47.11557788944724,19.236180904522612,15.170854271356784,44.34170854271357,19.391959798994975,19.396984924623116,16.190954773869347,47.04522613065327,19.43718592964824,15.115577889447236,6.980100502512561,7.247939698492457,7.624723618090451,7.105577889447236,7.589648241206032,7.8243718592964875,7.396281407035173
537:TCET,CIVIL,25904.521739130436,21774134.63768116,51.231884057971016,21.565217391304348,20.971014492753625,14.942028985507246,51.3768115942029,20.971014492753625,18.130434782608695,53.55072463768116,20.333333333333332,21.797101449275363,16.115942028985508,55.81159420289855,20.246376811594203,17.71014492753623,7.324347826086958,7.252318840579712,7.5553623188405785,7.72159420289855,8.187101449275364,8.473478260869566,7.7533333333333365
537:TCET,COMPUTER ENGINEERING,36117.03488372093,17816669.337209303,52.093023255813954,19.674418604651162,19.767441860465116,15.255813953488373,54.7093023255814,19.558139534883722,16.430232558139537,49.05813953488372,19.825581395348838,20.546511627906977,15.837209302325581,47.825581395348834,20.313953488372093,16.77906976744186,6.804302325581396,7.117674418604652,7.973139534883722,8.16558139534884,7.989302325581396,8.361395348837208,7.736162790697676
537:TCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,8184.027027027027,10184060.027027028,49.351351351351354,19.216216216216218,18.91891891891892,15.35135135135135,50.83783783783784,20.135135135135137,14.08108108108108,49.24324324324324,18.35135135135135,17.027027027027028,12.675675675675675,44.972972972972975,19.594594594594593,16.054054054054053,6.9837837837837835,6.979459459459461,7.366216216216216,7.451351351351352,7.048918918918919,7.824864864864864,7.276756756756756
537:TCET,ELECTRONICS ENGINEERING,38750.15730337079,27437174.57303371,43.98876404494382,18.06741573033708,17.04494382022472,11.820224719101123,49.853932584269664,18.56179775280899,12.370786516853933,44.78651685393258,20.089887640449437,18.685393258426966,13.460674157303371,46.01123595505618,17.775280898876403,12.089887640449438,6.7821348314606755,6.475280898876404,6.828876404494382,6.870561797752809,6.74876404494382,7.190786516853933,6.816853932584271
537:TCET,INFORMATION TECHNOLOGY ENGINEERING,39190.82692307692,30980919.923076924,54.63461538461539,20.096153846153847,20.096153846153847,16.576923076923077,49.88461538461539,19.826923076923077,17.057692307692307,47.15384615384615,20.28846153846154,20.03846153846154,16.384615384615383,55.86538461538461,21.03846153846154,16.48076923076923,7.525769230769229,7.962692307692309,8.269807692307694,8.608461538461539,7.98076923076923,8.39480769230769,8.125769230769231
