college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
742:GHARADA,INFORMATION TECHNOLOGY ENGINEERING,51282998,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,38.0,23.0,23.0,15.0,41.0,22.0,13.0,32.0,23.0,24.0,18.0,33.0,21.0,11.0,['Diploma'],['Diploma'],5.71,5.64,6.46,6.24,7.7,7.23,6.5
742:GHARADA,MECHANICAL,14184216,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,17.0,17.0,10.0,32.0,10.0,8.0,32.0,16.0,12.0,9.0,36.0,20.0,11.0,['Diploma'],['Diploma'],5.46,5.29,5.63,5.32,5.81,6.48,6.02
751:SSJCET,CIVIL,6182254,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,14.0,16.0,8.0,35.0,14.0,8.0,33.0,15.0,13.0,8.0,32.0,18.0,8.0,['Diploma'],['Diploma'],4.78,4.77,4.96,5.0,5.78,6.0,5.46
751:SSJCET,COMPUTER ENGINEERING,7185205,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,35.0,12.0,10.0,8.0,33.0,18.0,9.0,32.0,17.0,17.0,8.0,34.0,18.0,9.0,['Diploma'],['Diploma'],4.64,4.5,5.42,5.17,5.72,6.59,5.43
751:SSJCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185022,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,37.0,20.0,20.0,9.0,32.0,19.0,8.0,32.0,20.0,20.0,10.0,32.0,20.0,10.0,['Diploma'],['Diploma'],4.76,4.82,5.3,4.79,5.63,6.92,5.72
751:SSJCET,MECHANICAL,14184290,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,18.0,8.0,18.0,20.0,9.0,21.0,0.0,17.0,9.0,21.0,16.0,8.0,['Diploma'],['Diploma'],5.29,4.96,5.26,4.82,6.19,7.12,5.9
776:ARIET,CIVIL,6182332,CEE80413:BUILDING,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,12.0,10.0,10.0,26.0,0.0,12.0,19.0,0.0,15.0,9.0,21.0,18.0,9.0,['Diploma'],['Diploma'],4.81,4.56,5.0,4.93,5.7,6.71,5.43
776:ARIET,COMPUTER ENGINEERING,7185283,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,18.0,18.0,12.0,34.0,19.0,8.0,32.0,18.0,17.0,8.0,32.0,17.0,10.0,['Diploma'],['Diploma'],4.9,4.57,4.42,4.75,6.12,6.89,5.36
776:ARIET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185093,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,36.0,19.0,20.0,10.0,32.0,14.0,11.0,32.0,20.0,20.0,9.0,25.0,0.0,12.0,['Diploma'],['Diploma'],5.23,4.5,5.15,5.54,6.0,6.38,5.56
776:ARIET,INFORMATION TECHNOLOGY ENGINEERING,12183962,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,17.0,10.0,32.0,16.0,8.0,32.0,16.0,17.0,9.0,32.0,15.0,9.0,['Diploma'],['Diploma'],5.07,4.75,5.0,4.72,6.0,6.23,5.65
776:ARIET,MECHANICAL,14184435,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,14.0,8.0,23.0,13.0,4.0,21.0,0.0,2.0,0.0,17.0,13.0,8.0,['Diploma'],['Diploma'],4.32,4.64,4.56,4.36,4.48,5.48,5.3
779:STJCET,CIVIL,6182488,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,26.0,0.0,16.0,8.0,18.0,16.0,8.0,20.0,16.0,15.0,8.0,16.0,18.0,8.0,['Diploma'],['Diploma'],5.3,4.6,5.08,5.04,5.52,6.08,5.41
779:STJCET,COMPUTER ENGINEERING,7185315,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,33.0,12.0,14.0,8.0,32.0,12.0,8.0,32.0,13.0,11.0,9.0,32.0,16.0,8.0,['Diploma'],['Diploma'],4.36,4.46,4.63,5.08,5.96,5.93,5.5
779:STJCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185120,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,41.0,17.0,16.0,10.0,43.0,18.0,9.0,35.0,17.0,18.0,12.0,32.0,12.0,9.0,['Diploma'],['Diploma'],5.12,4.71,5.52,5.0,5.7,7.15,5.86
