college_code,department,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
779:STJCET,CIVIL,23259775.0,44.44444444444444,20.07936507936508,19.50793650793651,12.492063492063492,47.65079365079365,20.22222222222222,13.126984126984127,47.19047619047619,20.746031746031747,19.666666666666668,12.857142857142858,51.317460317460316,20.6984126984127,12.682539682539682,6.2301587301587285,6.283492063492062,6.278888888888888,6.307301587301588,6.817777777777776,6.62634920634921,7.302698412698412,7.622539682539683,6.684126984126985
779:STJCET,COMPUTER ENGINEERING,19885043.675555557,51.102222222222224,21.026666666666667,19.00888888888889,15.604444444444445,51.51555555555556,19.764444444444443,14.28888888888889,43.36,19.546666666666667,19.635555555555555,15.017777777777777,46.44444444444444,20.91111111111111,13.71111111111111,6.255866666666669,6.416266666666659,6.229377777777772,6.244755555555557,7.141066666666669,7.886133333333342,7.9712,7.945333333333335,7.011911111111113
779:STJCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185147.0625,51.1875,19.9375,20.75,14.71875,50.625,21.25,13.375,49.15625,20.21875,20.53125,16.0,42.875,18.71875,15.84375,6.2875000000000005,6.433124999999999,6.370000000000001,6.580625,7.0396875,6.3965625,7.276875,8.046562500000002,6.8040625
779:STJCET,INFORMATION TECHNOLOGY ENGINEERING,31402181.72881356,49.28813559322034,22.033898305084747,21.88135593220339,13.627118644067796,46.74576271186441,21.93220338983051,14.694915254237289,46.11864406779661,20.93220338983051,21.033898305084747,15.169491525423728,46.79661016949152,21.338983050847457,15.525423728813559,6.329322033898303,6.46627118644068,6.8827118644067795,7.753050847457629,7.788983050847457,7.535932203389832,7.66830508474576,8.010508474576268,7.304915254237288
779:STJCET,MECHANICAL,33162520.678362574,44.62573099415204,20.0,19.497076023391813,10.497076023391813,45.87719298245614,20.52046783625731,12.771929824561404,45.538011695906434,20.92982456140351,21.239766081871345,12.099415204678362,47.292397660818715,21.05263157894737,14.783625730994151,6.685263157894738,6.719707602339183,6.55029239766082,6.5388888888888905,6.514269005847956,6.256666666666669,7.15918128654971,7.717426900584794,6.768245614035089
780:YTEM,CIVIL,36215013.4047619,38.69047619047619,19.952380952380953,19.738095238095237,17.023809523809526,44.88095238095238,19.476190476190474,14.380952380952381,45.38095238095238,19.952380952380953,17.19047619047619,16.357142857142858,48.30952380952381,21.452380952380953,15.5,6.152619047619048,6.419523809523811,5.823809523809524,6.0026190476190475,6.157380952380953,5.937142857142858,6.939523809523809,7.592619047619048,6.378571428571429
780:YTEM,COMPUTER ENGINEERING,7185512.282051282,45.76923076923077,21.0,20.974358974358974,11.256410256410257,48.1025641025641,19.58974358974359,12.487179487179487,42.51282051282051,20.0,19.333333333333332,12.923076923076923,47.205128205128204,20.205128205128204,10.846153846153847,5.8010256410256416,6.229743589743589,5.783589743589744,5.692307692307691,6.577179487179487,6.2305128205128195,7.39897435897436,7.684615384615384,6.425641025641026
780:YTEM,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185178.0,53.714285714285715,22.142857142857142,21.0,16.857142857142858,42.857142857142854,20.0,16.428571428571427,42.42857142857143,21.285714285714285,21.142857142857142,14.571428571428571,39.42857142857143,22.857142857142858,13.0,5.927142857142856,6.31,5.882857142857142,6.0528571428571425,6.937142857142857,6.217142857142856,7.164285714285714,7.858571428571429,6.545714285714287
780:YTEM,INFORMATION TECHNOLOGY ENGINEERING,12184032.0,52.38461538461539,21.0,21.307692307692307,12.23076923076923,47.38461538461539,20.23076923076923,10.153846153846153,37.53846153846154,18.846153846153847,20.153846153846153,14.461538461538462,37.76923076923077,20.153846153846153,11.23076923076923,5.487692307692308,6.01923076923077,6.1984615384615385,6.205384615384617,6.390769230769231,6.079999999999999,6.883076923076922,7.4969230769230775,6.346153846153846
780:YTEM,MECHANICAL,40576596.9375,39.9375,20.0,19.85,13.925,44.0,21.1875,14.325,42.2125,19.625,18.1625,12.3375,48.075,20.7,15.2,6.145250000000001,6.352500000000001,6.3926250000000024,5.881375,5.837125000000002,5.608500000000001,7.150374999999999,7.606500000000001,6.371874999999998
802:THEEM,AUTOMOBILE ENGINEERING,39280327.25,52.583333333333336,20.75,20.75,16.833333333333332,48.583333333333336,21.5,13.416666666666666,42.166666666666664,19.166666666666668,18.583333333333332,14.75,51.166666666666664,19.5,16.25,6.340833333333333,6.584166666666666,6.489999999999999,6.160833333333334,6.2225,6.125833333333333,7.094166666666666,8.139999999999999,6.645833333333332
802:THEEM,CIVIL,25743901.418181818,44.18181818181818,19.054545454545455,18.654545454545456,13.363636363636363,49.345454545454544,18.581818181818182,14.0,48.054545454545455,19.545454545454547,18.763636363636362,11.654545454545454,50.30909090909091,19.636363636363637,12.6,6.108181818181817,6.352,6.0349090909090926,6.2272727272727275,6.541090909090908,6.234727272727273,6.952181818181817,7.5885454545454545,6.505454545454547
802:THEEM,COMPUTER ENGINEERING,19475498.741935484,50.935483870967744,22.112903225806452,22.177419354838708,17.64516129032258,56.79032258064516,21.516129032258064,14.82258064516129,49.32258064516129,21.548387096774192,20.741935483870968,17.177419354838708,48.016129032258064,21.516129032258064,17.20967741935484,6.318548387096774,6.612258064516129,6.3549999999999995,6.615645161290324,7.204032258064516,8.011612903225807,8.029677419354837,8.431774193548387,7.198870967741933
802:THEEM,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185197.785714285,51.285714285714285,21.785714285714285,21.714285714285715,16.428571428571427,49.714285714285715,20.5,17.857142857142858,45.785714285714285,21.928571428571427,20.357142857142858,18.214285714285715,46.857142857142854,20.071428571428573,17.642857142857142,6.323571428571428,6.479285714285714,6.571428571428571,6.475714285714285,6.9592857142857145,7.074999999999998,7.5392857142857155,8.314285714285715,6.968571428571429
802:THEEM,ELECTRONICS ENGINEERING,35945520.166666664,45.06666666666667,21.733333333333334,20.966666666666665,16.266666666666666,47.733333333333334,21.166666666666668,17.933333333333334,45.5,21.133333333333333,20.633333333333333,14.433333333333334,49.766666666666666,21.533333333333335,15.133333333333333,5.9830000000000005,6.199999999999999,6.170666666666666,6.066000000000002,7.0053333333333345,6.986666666666668,7.204333333333333,7.9123333333333346,6.691000000000001
802:THEEM,INFORMATION TECHNOLOGY ENGINEERING,34666026.65,50.35,21.025,21.15,14.85,49.35,20.225,15.575,42.65,18.975,21.25,15.125,46.725,20.6,15.475,6.093250000000002,6.370500000000002,6.015749999999999,6.69225,6.8255,7.096000000000001,7.564000000000002,7.9475,6.8260000000000005
802:THEEM,MECHANICAL,34795234.99224806,42.093023255813954,20.046511627906977,20.62015503875969,13.279069767441861,44.68217054263566,21.41860465116279,15.976744186046512,44.76744186046512,20.782945736434108,20.11627906976744,15.2015503875969,47.85271317829457,21.51937984496124,15.75968992248062,6.463023255813953,6.711550387596898,6.937906976744185,6.542325581395348,6.647984496124029,6.639147286821702,7.495271317829457,7.86232558139535,6.913720930232553
807:GVAIET,CIVIL,28854282.12962963,35.77777777777778,18.925925925925927,18.703703703703702,16.38888888888889,43.592592592592595,22.11111111111111,16.333333333333332,42.851851851851855,20.88888888888889,19.666666666666668,14.796296296296296,43.53703703703704,21.314814814814813,15.018518518518519,6.103703703703706,6.255925925925925,5.927962962962962,5.700370370370369,6.440740740740739,6.634814814814816,7.375555555555553,7.421666666666665,6.482777777777778
